No,"ID Pengujian","Modul / Fitur","Skenario Pengujian","Tipe Perangkat / Viewport","Prasyarat (Pre-condition)","Langkah-langkah Pengujian (Test Steps)","Hasil yang Diharapkan (Expected Result)","Kriteria Penerimaan (Acceptance Criteria)","Status Pengujian","Tingkat Kepentingan (Severity)","Catatan Penguji"
1,UAT-FE-NAV-001,"1. Navigasi & Header","Navigasi Menu Header Desktop","Desktop (>= 1024px)","Pengguna membuka halaman utama di browser desktop.","1. Buka website di desktop.
2. Klik menu 'Tentang', 'Fasilitas', 'Galeri', 'Tarif', 'Lokasi', 'Tata Tertib', dan 'Cek Booking'.","1. Halaman melakukan smooth scroll ke section yang dituju.
2. Untuk menu Tata Tertib dan Cek Booking, halaman berpindah ke rute yang sesuai.","Semua link menu desktop berfungsi dan mengarahkan ke target yang benar.",Pass,Tinggi,"Diuji di Chrome & Edge Desktop."
2,UAT-FE-NAV-002,"1. Navigasi & Header","Sticky Header & Efek Glassmorphism saat Scroll","Desktop & Mobile","Pengguna berada di halaman utama.","1. Scroll halaman ke bawah melewati section Hero.
2. Perhatikan perubahan tampilan navbar header.","1. Header tetap menempel di bagian atas layar (sticky).
2. Background header berubah menjadi gelap semi-transparan dengan efek backdrop blur (glassmorphism).","Header selalu terlihat saat scroll dan tidak mengganggu konten di bawahnya.",Pass,Sedang,"Memberikan kesan visual premium."
3,UAT-FE-NAV-003,"1. Navigasi & Header","Tombol CTA ""Reservasi Villa"" di Header","Desktop & Mobile","Website terbuka di perangkat apa pun.","1. Klik tombol emas 'Reservasi Villa' di pojok kanan header.","1. Popup modal reservasi online terbuka seketika dengan animasi smooth.
2. Latar belakang meredup dengan efek backdrop blur.","Modal reservasi online terbuka tanpa delay atau error.",Pass,Kritis,"Akses utama menuju alur pemesanan."
4,UAT-FE-NAV-004,"1. Navigasi & Header","Hamburger Menu & Animasi Drawer Mobile","Mobile (< 1024px)","Pengguna membuka website di smartphone atau mobile viewport.","1. Ketuk ikon hamburger di pojok kanan atas.
2. Perhatikan animasi drawer dan transisi ikon.
3. Ketuk ikon silang (X) untuk menutup.","1. Ikon hamburger bertransisi memutar 90 derajat menjadi ikon 'X'.
2. Drawer menu meluncur halus dari atas (slide down spring motion).
3. Tautan menu muncul secara berurutan (staggered animation).
4. Menu tertutup dengan mulus saat ikon 'X' ditekan.","Animasi drawer halus (60fps) dan tidak ada jeda tampilan.",Pass,Tinggi,"Menggunakan framer-motion."
5,UAT-FE-NAV-005,"1. Navigasi & Header","Navigasi Menu pada Mobile Drawer","Mobile (< 1024px)","Drawer menu mobile dalam kondisi terbuka.","1. Ketuk salah satu item menu (misal: 'Fasilitas' atau 'Cek Reservasi').","1. Drawer menu otomatis menutup seketika.
2. Layar melakukan smooth scroll ke section yang dipilih atau berpindah ke halaman tujuan.","Menu otomatis menutup saat salah satu tautan diklik sehingga tidak menghalangi konten.",Pass,Tinggi,"UX mobile optimal."
6,UAT-FE-NAV-006,"1. Navigasi & Header","Backdrop Dimmer & Blur pada Mobile Drawer","Mobile (< 1024px)","Drawer menu mobile dalam kondisi terbuka.","1. Ketuk area di luar kotak drawer menu (area backdrop gelap).","1. Drawer menu tertutup secara mulus.
2. Layar kembali ke keadaan normal.","Mengetuk area luar drawer berhasil menutup menu.",Pass,Sedang,"Sesuai konvensi mobile UX modern."
7,UAT-FE-HOM-001,"2. Beranda & Landing Page","Tampilan Visual Hero Section & Identitas Villa","Desktop & Mobile","Pengguna mengakses URL utama website.","1. Buka halaman utama website.
2. Perhatikan banner gambar, badge lokasi, nama villa, dan deskripsi singkat.","1. Gambar hero termuat tajam dan teroptimasi.
2. Nama villa, lokasi (Puncak Bogor), dan slogan tampil dengan tipografi premium tanpa teks terpotong.","Visual hero memukau dan layout proporsional di semua ukuran layar.",Pass,Tinggi,"Kesan pertama pengunjung website."
8,UAT-FE-HOM-002,"2. Beranda & Landing Page","Bar Cek Ketersediaan Cepat di Hero","Desktop & Mobile","Pengguna berada di area Hero Section.","1. Ketuk/klik kolom Check-in dan pilih tanggal.
2. Ketuk/klik kolom Check-out dan pilih tanggal.
3. Pilih jumlah tamu.","1. Datepicker muncul dengan format tanggal yang jelas.
2. Tanggal yang dipilih terpasang di bar ketersediaan.
3. Counter tamu bekerja sesuai batas maksimal villa.","Input tanggal dan tamu dapat dipilih dengan mudah.",Pass,Tinggi,"Form ketersediaan instan di landing page."
9,UAT-FE-HOM-003,"2. Beranda & Landing Page","Tombol ""Cek Ketersediaan"" di Hero Membuka Modal Reservasi","Desktop & Mobile","Tanggal atau tamu telah dipilih pada Bar Hero.","1. Klik tombol 'Cek Ketersediaan' di Bar Hero.","1. Modal reservasi online terbuka.
2. Tanggal check-in, check-out, dan jumlah tamu yang dipilih di Hero otomatis terisi ke dalam modal.","Data input dari Hero tersinkronisasi ke dalam modal reservasi.",Pass,Kritis,"Seamless state transfer."
10,UAT-FE-HOM-004,"2. Beranda & Landing Page","Section ""Tentang Villa"" (About Section)","Desktop & Mobile","Pengguna berada di halaman utama.","1. Scroll ke section 'Tentang Villa'.
2. Periksa informasi kapasitas, jumlah kamar tidur, kamar mandi, dan keunggulan villa.","1. Data kapasitas (misal: 6-25 tamu), kamar tidur, dan fasilitas utama tampil rapi.
2. Ikon dan teks terbaca jelas dan layout responsif.","Informasi properti villa akurat dan representatif.",Pass,Sedang,"Data tersinkron dari backend VillaContext."
